YMM,Trim,DriveTrain,Class,Longitude,Latitude,Year,Mileage,ListPrice,LotPrice,MSRP,MarketAveragePrice,AgeInDays,ReconditionCost,UnitCost,PotentialGross,PrimaryBookValue
2017 Ford Super Duty F-350 SRW,Lariat,2WD, Standard Pickup Trucks,-122.8771,42.3556,2017,9407.0,64985.0,68999.0,64985.0,61995.8888,78.0,1987.36,61206.11,3778.89,60826.0
2017 Ford Taurus,LIMITED,4WD, Large Passenger Car,-117.3979,47.7552,2017,30014.0,17495.0,20995.0,20096.0,20609.5,181.0,450.59,18588.09,-1093.09,17909.0
2017 GMC Sierra 1500,SLE,4WD, Standard Pickup Trucks,-149.8673,61.1381,2017,43972.5,25888.0,14462.5,0.0,31321.5,79.0,2352.37,27686.184999999998,-1084.37,29637.5
2017 Hyundai Accent,SE,4WD, Compact Passenger Car,-122.8771,42.3556,2017,40898.0,11985.0,15999.0,11985.0,11964.1529,29.0,517.56,10611.31,1373.69,10340.0
2017 Hyundai Elantra,LIMITED,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2017,44011.0,13995.0,16995.0,17650.0,14774.5454,131.0,520.97,13708.47,286.53,13326.0
2017 Hyundai Elantra,SE,2WD, Mid-Size Passenger Car,-122.8771,42.3556,2017,51563.0,11985.0,15999.0,11985.0,12895.9047,29.0,566.99,10579.49,1405.51,10487.0
2017 Hyundai Sonata,Sport,4WD, Large Passenger Car,-123.8095,46.9768,2017,50529.0,13999.0,16995.0,16995.0,13171.9361,67.0,752.0,13447.0,552.0,13150.0
2017 Hyundai Tucson,SE,2WD, Sport Utility Vehicles,-123.1763,44.0487,2017,57791.0,16996.0,19999.0,19999.0,18158.6666,12.0,242.45,14930.0,2066.0,16621.0
2017 Jeep Compass,Sport,4WD, Sport Utility Vehicles,-122.654,45.5271,2017,40910.0,15990.0,15990.0,13775.0,15849.5,13.0,1225.35,15340.35,649.65,14545.0
2017 Jeep Grand Cherokee,LIMITED,2WD, Sport Utility Vehicles,-117.3979,47.7552,2017,37802.0,29995.0,29995.0,30625.0,29655.6428,19.0,1331.13,28893.63,1101.37,26268.0
2017 Jeep Grand Cherokee,LIMITED,4WD, Sport Utility Vehicles,-123.8095,46.9768,2017,14109.0,30315.0,38585.0,38585.0,29688.25,56.0,1365.83,29091.63,1223.37,32126.0
2017 Jeep Grand Cherokee,Limited,2WD, Sport Utility Vehicles,-123.8095,46.9768,2017,16982.0,29214.0,33995.0,33995.0,29743.3,84.0,1394.15,28412.95,801.05,29161.0
2017 Jeep Renegade,LATITUDE,4WD, Sport Utility Vehicles,-114.45700000000001,42.5913,2017,32831.0,15999.0,15999.0,15999.0,22336.0,40.0,2045.92,15480.92,518.08,14737.0
2017 Jeep Renegade,SPORT,4WD, Sport Utility Vehicles,-114.45700000000001,42.5913,2017,15930.0,16999.0,17500.0,17500.0,17244.5,11.0,1183.63,14683.63,2315.37,15030.0
2017 Jeep Renegade,Sport,4WD, Sport Utility Vehicles,-123.8095,46.9768,2017,37525.0,16773.0,17173.0,17173.0,18404.3333,37.0,883.15,15093.15,1679.85,13849.0
2017 Jeep Wrangler Unlimited,RUBICON RECON,4WD, Sport Utility Vehicles,-117.3979,47.7552,2017,17441.0,37995.0,41995.0,42525.0,39306.5,65.0,669.34,38669.34,-674.34,38687.0
2017 Jeep Wrangler Unlimited,WILLYS WHEELER,4WD, Sport Utility Vehicles,-123.4436,46.9971,2017,34606.0,31989.0,34895.0,34895.0,29817.5714,69.0,34895.0,28636.28,3352.72,32235.0
2017 Kia Forte,LX,4WD, Mid-Size Passenger Car,-123.0095,44.9123,2017,31051.0,12985.0,14999.0,14999.0,13489.3333,15.0,150.0,12559.7,425.3,10639.0
2017 Kia Rio,LX,2WD, Compact Passenger Car,-123.8095,46.9768,2017,41852.0,11302.0,11302.0,11302.0,11220.6,15.0,685.0,9003.65,2298.35,9259.0
2017 Kia Soul,+,2WD,Small Wagon,-122.8771,42.3556,2017,36573.0,12484.0,18999.0,12484.0,14639.8333,146.0,1203.15,14243.4,-1759.4,12941.0
2017 Kia Soul,+,4WD,Small Wagon,-123.8016,46.9674,2017,34434.0,15012.0,15012.0,15012.0,14627.3571,9.0,1591.47,13884.47,1127.53,12963.0
2017 Lincoln MKX,Reserve,4WD, Sport Utility Vehicles,-123.8095,46.9768,2017,28887.0,32684.0,38569.0,38569.0,34224.4,81.0,270.0,33165.0,-481.0,29982.0
2017 MINI Hardtop 4 Door,COOPER,4WD, Mini-Compact Passenger Car,-122.7711,45.4954,2017,7750.0,22490.0,32395.0,33645.0,19909.0,186.0,255.0,27515.25,-5025.25,18909.0
2017 Mazda MAZDA6,GRAND TOURING,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2017,13545.0,22984.0,27999.0,22984.0,24154.2,65.0,923.67,22154.92,829.08,22579.0
2017 Mitsubishi Mirage,ES,2WD, Sub-Compact Passenger Car,-117.3979,47.7552,2017,39803.0,9995.0,9995.0,10232.0,9048.4,12.0,577.66,8177.66,1817.34,7495.0
2017 Nissan Altima,2.5 S,4WD, Mid-Size Passenger Car,-122.654,45.5271,2017,41838.0,12975.0,12975.0,12975.0,14829.6875,16.0,1349.41,12893.41,81.59,12778.0
2017 Nissan Altima,2.5 SL,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2017,30147.0,16995.0,16995.0,17994.0,15471.1111,27.0,1637.16,15599.66,1395.34,15222.0
2017 Nissan Altima,2.5 SV,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2017,46603.0,13984.0,16999.0,13984.0,15510.2352,14.0,1173.6,13182.6,801.4,13448.0
2017 Nissan Altima,2.5 SV,4WD, Mid-Size Passenger Car,-122.654,45.5271,2017,40492.0,12990.0,12990.0,12990.0,15732.2941,16.0,1220.3,13364.3,-374.3,13837.0
2017 Nissan Frontier,SV V6,4WD, Small Pickup Trucks,-123.8016,46.9674,2017,32816.0,23847.0,23847.0,23847.0,23196.4,8.0,80.0,20350.0,3497.0,21735.0
2017 Nissan Murano,S,4WD,Mid-Size Wagon,-123.0633,44.6383,2017,46494.0,19917.0,21912.0,21912.0,23726.4444,1.0,236.0,17780.0,2137.0,21116.0
2017 Nissan Pathfinder,SL,4WD, Sport Utility Vehicles,-123.1763,44.0487,2017,53552.0,23896.0,26999.0,26999.0,25011.8888,1.0,239.42,20800.0,3096.0,24069.0
2017 Nissan Rogue,S,4WD, Sport Utility Vehicles,-123.8095,46.9768,2017,50083.0,16559.0,17995.0,17995.0,15298.6666,79.0,1704.02,15409.02,1149.98,13592.0
2017 Nissan Rogue,S,4WD, Sport Utility Vehicles,-123.2585,44.5725,2017,38326.0,19995.0,21997.0,21997.0,17858.0,10.0,1042.74,15374.0,4621.0,17375.0
2017 Nissan Rogue,SV,4WD, Sport Utility Vehicles,-114.45700000000001,42.5913,2017,50665.0,16999.0,19571.0,19571.0,20120.375,140.0,1836.86,17818.11,-819.11,15703.0
2017 Nissan Sentra,SV,2WD, Mid-Size Passenger Car,-123.8016,46.9674,2017,45887.0,11981.0,13157.0,13157.0,13006.6923,84.0,1932.17,12952.57,-971.57,11465.0
2017 Nissan Sentra,SV,4WD, Mid-Size Passenger Car,-123.8016,46.9674,2017,45544.0,11981.0,13157.0,13157.0,13006.6923,84.0,1624.09,12579.49,-598.49,11465.0
2017 Nissan Versa,SV,4WD, Compact Passenger Car,-122.8771,42.3556,2017,39008.0,11985.0,14999.0,11985.0,11045.421,13.0,1022.93,10313.18,1671.82,9959.0
2017 Nissan Versa Note,SV,4WD, Mid-Size Passenger Car,-123.0633,44.6383,2017,49395.0,10917.0,12912.0,12912.0,11053.0,6.0,516.87,9235.0,1682.0,11345.0
2017 Ram 1500,Longhorn,4WD, Standard Pickup Trucks,-122.8771,42.3556,2017,15146.0,41987.0,43999.0,41987.0,31495.0,15.0,998.49,36998.49,4988.51,38122.0
2017 Ram 1500,REBEL,4WD, Standard Pickup Trucks,-122.654,45.5271,2017,15730.0,38975.0,38975.0,38975.0,38990.0,13.0,1010.82,33535.82,5439.18,36670.0
2017 Ram 1500,SLT,4WD, Standard Pickup Trucks,-122.8771,42.3556,2017,15883.0,30985.0,34999.0,30985.0,28810.0,69.0,963.81,28960.31,2024.69,28483.0
2017 Ram 1500,SPORT,4WD, Standard Pickup Trucks,-149.866,61.1334,2017,7666.0,41995.0,42595.0,42000.0,40511.5,34.0,984.67,36519.67,5475.33,36850.0
2017 Ram 1500,Tradesman,4WD, Standard Pickup Trucks,-123.8095,46.9768,2017,10735.0,20414.0,19995.0,19995.0,18201.0,90.0,1526.2,18697.5,1716.5,17591.0
2017 Ram 2500,SLT,4WD, Standard Pickup Trucks,-117.3979,47.7552,2017,6375.0,44995.0,44995.0,42073.0,44740.2,7.0,50.0,46891.0,-1896.0,44696.0
2017 Ram ProMaster City,Tradesman,4WD,Cargo Vans,-123.8095,46.9768,2017,5506.0,18999.0,20595.0,20595.0,19153.2222,28.0,1150.49,18170.29,828.71,17675.0
2017 Subaru Legacy,LIMITED,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2017,31008.0,21995.0,22995.0,22763.0,23364.5,27.0,740.26,19584.01,2410.99,20377.0
2017 Subaru Outback,Premium,4WD, Sport Utility Vehicles,-122.8771,42.3556,2017,12433.0,24985.0,28999.0,25985.0,24000.5348,49.0,135.0,22785.0,2200.0,23546.0
2017 Toyota 4Runner,TRD Pro,4WD, Sport Utility Vehicles,-122.5688,45.6611,2017,27937.0,43341.0,43341.0,43949.0,37003.5,7.0,315.0,39441.0,3900.0,42414.0
2017 Toyota Camry,SE,4WD, Mid-Size Passenger Car,-123.8095,46.9768,2017,35543.0,16679.0,18998.0,18998.0,17107.5769,54.0,922.7,15637.7,1041.3,15601.0
2017 Toyota Camry,SE,4WD, Mid-Size Passenger Car,-123.8016,46.9674,2017,39033.0,17362.0,17362.0,17362.0,17390.6,8.0,1178.52,16036.92,1325.08,15362.0
2017 Toyota Camry,SE,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2017,36870.0,16984.0,19999.0,16984.0,16993.0227,55.0,923.37,15757.37,1226.63,15717.0
2017 Toyota Camry,SE,4WD, Mid-Size Passenger Car,-122.5688,45.6611,2017,30777.0,17169.0,19053.5,24954.0,16535.269175,51.25,191.25,16777.955,391.045,17892.5
2017 Toyota Camry,SE,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2017,49026.0,14995.0,16995.0,17081.0,20059.1666,111.0,471.81,14061.31,933.69,14989.0
2017 Toyota Camry,SE,4WD, Mid-Size Passenger Car,-114.45700000000001,42.5913,2017,38990.0,16999.0,16999.0,16999.0,17486.3333,7.0,1003.25,14603.25,2395.75,15114.0
2017 Toyota Corolla,LE,4WD, Compact Passenger Car,-114.45700000000001,42.5913,2017,32248.0,13449.0,14920.0,14920.0,14862.5833,64.0,1152.94,13121.69,327.31,13228.0
2017 Toyota Corolla,SE,4WD, Compact Passenger Car,-122.654,45.5271,2017,48114.0,13888.0,15990.0,15990.0,15472.5714,96.0,407.19,15435.19,-1547.19,13725.0
2017 Toyota Prius,FOUR,4WD, Mid-Size Passenger Car,-123.0815,44.0588,2017,16562.0,22300.0,26400.0,26400.0,22468.1111,38.0,1127.88,21697.88,602.12,21822.0
2017 Toyota RAV4,LE,4WD, Sport Utility Vehicles,-123.1763,44.0487,2017,37829.0,19996.0,22999.0,22999.0,21546.1538,54.5,237.31,18288.9,1707.1,20445.5
2017 Toyota RAV4,XLE,2WD, Sport Utility Vehicles,-123.8016,46.9674,2017,29722.0,21499.0,22392.0,22392.0,23107.875,54.0,1593.8,20653.8,845.2,19978.0
2017 Toyota RAV4,XLE,4WD, Sport Utility Vehicles,-122.5688,45.6611,2017,26074.0,25331.0,32039.0,32039.0,23224.1818,15.0,60.0,21037.49,4293.51,23392.0
2017 Toyota Tacoma,TRD Off Road,4WD, Small Pickup Trucks,-122.5688,45.6611,2017,22601.666666666668,33726.666666666664,35263.0,34457.0,31520.74686666667,97.66666666666667,200.0,31507.343333333334,2219.3233333333333,33407.333333333336
2017 Toyota Tacoma,TRD Sport,4WD, Small Pickup Trucks,-123.8016,46.9674,2017,13321.0,33999.0,37864.0,37864.0,33031.4615,117.0,890.24,36255.24,-2256.24,33777.0
2017 Toyota Tundra 2WD,SR5,4WD, Standard Pickup Trucks,-117.3979,47.7552,2017,36987.0,28995.0,33995.0,35100.0,28998.0,76.0,723.43,30204.93,-1209.93,31156.0
2017 Toyota Tundra 4WD,SR5,4WD, Standard Pickup Trucks,-123.8016,46.9674,2017,5761.0,35532.5,37771.0,37771.0,37213.9444,71.0,939.095,34969.095,563.405,33440.0
2017 Volkswagen Golf SportWagen,S,4WD,Small Wagon,-122.7711,45.4954,2017,48048.0,16990.0,16990.0,16990.0,20038.5,19.0,1057.85,14589.1,2400.9,14815.0
2018 BMW X2,XDRIVE28I,4WD, Large Passenger Car,-122.7711,45.4954,2018,15641.0,34990.0,34990.0,34990.0,39147.9777,23.0,760.79,32204.79,2785.21,32542.0
2018 Buick Encore,PREFERRED,4WD, Sport Utility Vehicles,-121.7555,42.2011,2018,13739.0,19708.0,21995.0,21995.0,19652.75,27.0,772.46,15272.46,4435.54,17242.0
2018 Cadillac XTS,LUXURY,4WD, Large Passenger Car,-117.3979,47.7552,2018,14082.0,33995.0,33995.0,34860.0,34497.5,12.0,570.52,28370.52,5624.48,29121.0
2018 Chevrolet Cruze,LS,4WD, Compact Passenger Car,-123.8016,46.9674,2018,4929.0,15319.0,16765.0,16765.0,16303.0,261.0,665.16,19892.76,-4573.76,13461.0
2018 Chevrolet Equinox,LT,4WD, Sport Utility Vehicles,-123.8016,46.9674,2018,16415.5,22249.0,26923.5,26923.5,21202.92855,65.5,1536.9250000000002,22836.925000000003,-587.925,20287.0
2018 Chevrolet Equinox,LT,4WD, Sport Utility Vehicles,-122.8771,42.3556,2018,25673.0,24986.0,26999.0,24986.0,23055.421000000002,8.0,657.93,20232.93,4753.07,19698.0
2018 Chevrolet Equinox,LT,4WD, Sport Utility Vehicles,-121.2746,44.0557,2018,34537.0,23933.0,24995.0,24995.0,22488.6153,12.0,151.5,19622.96,4310.04,23974.0
2018 Chevrolet Malibu,LT,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2018,39772.0,17995.0,17995.0,19275.0,16812.5,27.0,803.14,15571.89,2423.11,15379.0
2018 Chevrolet Silverado 1500,LT,4WD, Standard Pickup Trucks,-117.3979,47.7552,2018,29136.0,28995.0,28995.0,29555.0,28865.2,12.0,604.33,26104.33,2890.67,25906.0
2018 Chevrolet Silverado 1500,LTZ,4WD, Standard Pickup Trucks,-117.3979,47.7552,2018,25474.0,34995.0,35995.0,37975.0,34870.0,27.0,709.74,31709.74,3285.26,31191.0
2018 Chevrolet Suburban,LT,2WD, Sport Utility Vehicles,-123.8016,46.9674,2018,36659.0,45597.0,45597.0,45597.0,47446.5384,6.0,706.96,40941.61,4655.39,41707.0
2018 Chevrolet Tahoe,LT,4WD, Sport Utility Vehicles,-114.45700000000001,42.5913,2018,41849.0,42999.0,42999.0,42999.0,44501.5,34.0,1164.53,37764.53,5234.47,39959.0
2018 Chrysler 300,300S,2WD, Large Passenger Car,-123.8095,46.9768,2018,13426.5,23332.5,26445.0,26445.0,22766.6428,28.0,1343.3600000000001,21090.16,2242.34,23392.5
2018 Chrysler 300,300S,4WD, Large Passenger Car,-117.3979,47.7552,2018,10178.0,26995.0,26995.0,28210.0,26665.6666,22.0,577.81,21657.81,5337.19,24561.0
2018 Chrysler 300,Touring L,4WD, Large Passenger Car,-123.8095,46.9768,2018,15276.0,21709.0,22995.0,22995.0,20403.6,28.0,1452.15,19279.95,2429.05,19512.0
2018 Chrysler Pacifica,LIMITED,4WD, Minivans,-122.654,45.5271,2018,33730.0,31490.0,31490.0,31490.0,31030.0,14.0,1476.92,28220.92,3269.08,29559.0
2018 Chrysler Pacifica,Touring L,4WD, Minivans,-123.8095,46.9768,2018,20357.0,25999.0,29995.0,29995.0,25844.6666,77.0,1414.75,25201.55,797.45,26307.0
2018 Dodge Challenger,R/T,4WD, Mid-Size Passenger Car,-123.8095,46.9768,2018,14731.0,25499.0,28995.0,28995.0,27047.2,225.0,1325.58,27278.83,-1779.83,25671.0
2018 Dodge Durango,GT,4WD, Sport Utility Vehicles,-122.654,45.5271,2018,43066.0,26990.0,29975.0,29975.0,31267.0,90.0,1255.51,27399.51,-409.51,28084.0
2018 Dodge Grand Caravan,SE,4WD, Minivans,-117.3979,47.7552,2018,4178.0,22995.0,19995.0,21636.666666666668,20647.833333333332,51.333333333333336,50.0,23645.333333333332,-650.3333333333334,18221.333333333332
2018 Dodge Grand Caravan,SXT,4WD, Minivans,-123.8095,46.9768,2018,33817.0,19905.0,19905.0,19905.0,20410.2142,7.0,685.0,16311.0,3594.0,17752.0
2018 Dodge Grand Caravan,SXT,4WD, Minivans,-122.654,45.5271,2018,44058.0,17990.0,17990.0,17990.0,21179.5,26.0,1438.2,16382.2,1607.8,16772.0
2018 Dodge Journey,Crossroad,4WD, Sport Utility Vehicles,-123.8095,46.9768,2018,16617.0,22630.0,25935.0,25935.0,22566.0,56.0,1363.15,21008.95,1621.05,20034.0
2018 Dodge Journey,SE,2WD, Sport Utility Vehicles,-122.654,45.5271,2018,2636.0,16990.0,20990.0,20990.0,20397.1428,151.0,925.03,20249.03,-3259.03,16547.0
2018 Dodge Journey,SE,4WD, Sport Utility Vehicles,-122.654,45.5271,2018,3379.75,17490.0,19990.0,21690.666666666668,20361.428525000003,101.5,902.135,19539.885000000002,-2049.885,16682.0
2018 Ford EcoSport,SE,2WD, Sport Utility Vehicles,-122.8771,42.3556,2018,5129.0,19984.0,25999.0,19984.0,23801.8846,78.0,688.75,22077.75,-2093.75,16951.0
2018 Ford EcoSport,Titanium,2WD, Sport Utility Vehicles,-123.8095,46.9768,2018,9380.0,22975.0,22975.0,22975.0,22515.5416,27.0,1270.97,17885.86,5089.14,17976.0
2018 Ford EcoSport,Titanium,4WD, Sport Utility Vehicles,-123.8095,46.9768,2018,11898.5,23922.5,23922.5,23922.5,22476.062449999998,27.0,1329.745,17329.85,6592.65,17817.5
2018 Ford Edge,TITANIUM,4WD, Sport Utility Vehicles,-117.3979,47.7552,2018,21319.0,27995.0,27995.0,29422.0,28594.2222,27.0,682.3,26382.3,1612.7,25828.0
2018 Ford Edge,Titanium,4WD, Sport Utility Vehicles,-122.8771,42.3556,2018,15387.0,27985.0,32999.0,27985.0,29864.7727,55.0,1029.93,25588.93,2396.07,25239.0
2018 Ford Escape,TITANIUM,4WD, Sport Utility Vehicles,-123.8095,46.9768,2018,15715.0,26809.0,26696.0,26696.0,25092.557633333334,41.0,2160.273333333333,25031.960000000003,1777.04,23658.333333333332
2018 Ford Expedition,LIMITED,4WD, Sport Utility Vehicles,-117.3979,47.7552,2018,32769.0,50995.0,50995.0,51381.0,68504.0,8.0,320.79,46320.79,4674.21,47553.0
2018 Ford Explorer,Limited,2WD, Sport Utility Vehicles,-122.8771,42.3556,2018,25590.0,35987.0,37999.0,35987.0,34307.0,27.0,1626.24,30335.24,5651.76,30786.0
2018 Ford Explorer,XLT,2WD, Sport Utility Vehicles,-122.8771,42.3556,2018,9291.0,34987.0,36999.0,34987.0,35161.6296,16.0,1240.14,30240.14,4746.86,29696.0
2018 Ford Explorer,XLT,4WD, Sport Utility Vehicles,-123.8095,46.9768,2018,18088.666666666668,31411.666666666668,34763.0,35495.0,33064.7204,61.0,1436.65,29394.75,1073.25,29122.666666666668
2018 Ford F-150,XL,4WD, Standard Pickup Trucks,-123.8016,46.9674,2018,456.0,31999.0,35679.0,35679.0,50943.5,44.0,105.0,30980.0,1019.0,31528.0
2018 Ford F-150,XLT,2WD, Standard Pickup Trucks,-117.3979,47.7552,2018,22682.0,31995.0,31995.0,32697.0,44151.2142,12.0,589.49,26889.49,5105.51,28651.0
2018 Ford F-150,XLT,4WD, Standard Pickup Trucks,-121.7555,42.2011,2018,13116.0,32579.6,32579.6,30995.0,35818.85454,28.8,718.958,26817.108,5762.492,28481.0
2018 Ford Focus,SE,4WD, Compact Passenger Car,-117.3979,47.7552,2018,36532.0,12995.0,12995.0,14179.0,17039.0,27.0,681.79,11481.79,1513.21,10718.0
2018 Ford Focus,TITANIUM,2WD, Compact Passenger Car,-122.8771,42.3556,2018,5811.0,16984.0,19999.0,16984.0,16596.6666,26.0,198.95,21029.2,-4045.2,14904.0
2018 Ford Fusion,Titanium,4WD, Mid-Size Passenger Car,-123.8095,46.9768,2018,14570.0,19905.0,23995.0,23995.0,20421.4615,82.0,1669.75,18709.75,1195.25,18903.0
2018 Ford Fusion Hybrid,SE,2WD, Mid-Size Passenger Car,-114.45700000000001,42.5913,2018,37872.0,15449.0,15999.0,15999.0,16114.8,64.0,1816.43,15022.68,426.32,14018.0
2018 Ford Super Duty F-350 SRW,XLT,4WD, Standard Pickup Trucks,-123.8095,46.9768,2018,10986.5,52499.0,52499.0,52499.0,49715.8571,16.0,4202.36,49093.11,3405.89,48145.5
2018 Hyundai Elantra,VALUE EDITION,4WD, Mid-Size Passenger Car,-149.866,61.1334,2018,12839.0,16995.0,16995.0,16995.0,16388.0,36.0,907.61,13307.61,3687.39,14400.0
2018 Hyundai Santa Fe Sport,2.4L,2WD, Sport Utility Vehicles,-122.8771,42.3556,2018,30100.0,18984.0,23999.0,18984.0,20879.1025,79.0,988.64,17697.64,1286.36,17004.0
2018 Hyundai Tucson,SEL,4WD, Sport Utility Vehicles,-122.654,45.5271,2018,25902.0,17975.0,17975.0,17975.0,19903.1666,6.0,391.72,17292.72,682.28,17867.0
2018 INFINITI Q70,3.7 LUXE,4WD, Mid-Size Passenger Car,-122.7711,45.4954,2018,7958.0,31990.0,35990.0,35990.0,25988.0,147.0,984.81,34466.06,-2476.06,31560.0
2018 Jeep Compass,LATITUDE,4WD, Sport Utility Vehicles,-123.0633,44.6383,2018,16974.0,21917.0,23912.0,23912.0,22900.48,1.0,236.0,20500.0,1417.0,22847.0
2018 Jeep Compass,LATITUDE,4WD, Sport Utility Vehicles,-117.3979,47.7552,2018,8222.333333333334,19661.666666666668,22328.333333333332,23948.0,21255.3111,87.33333333333333,187.18666666666664,20806.186666666665,-1144.52,20553.333333333332
2018 Jeep Compass,TRAILHAWK,2WD, Sport Utility Vehicles,-122.654,45.5271,2018,3572.0,24990.0,24990.0,24990.0,24990.0,6.0,865.78,27659.78,-2669.78,23803.0
2018 Jeep Compass,TRAILHAWK,4WD, Sport Utility Vehicles,-122.654,45.5271,2018,5722.0,24990.0,24990.0,24990.0,24990.0,6.0,887.98,27773.98,-2783.98,23668.0
2018 Jeep Compass,Trailhawk,4WD, Sport Utility Vehicles,-122.8771,42.3556,2018,7673.0,26986.0,28999.0,26986.0,24060.0,23.0,744.21,22837.96,4148.04,23652.0
2018 Jeep Grand Cherokee,LIMITED,2WD, Sport Utility Vehicles,-117.3979,47.7552,2018,34970.0,31995.0,31995.0,32245.0,34996.0,8.0,596.17,28596.17,3398.83,29232.0
2018 Jeep Wrangler Unlimited,SPORT,4WD, Sport Utility Vehicles,-123.8095,46.9768,2018,4875.0,29999.0,34995.0,34995.0,32909.625,123.0,708.51,30310.89,-311.89,30733.0
2018 Jeep Wrangler Unlimited,SPORT,4WD, Sport Utility Vehicles,-117.3979,47.7552,2018,4910.0,34995.0,34995.0,36600.0,33272.2,40.0,572.38,32759.88,2235.12,32114.0
2018 Jeep Wrangler Unlimited,SPORT S,4WD, Sport Utility Vehicles,-117.3979,47.7552,2018,11324.0,27995.0,31995.0,31923.0,34672.2,108.0,450.59,26450.59,1544.41,29459.0
2018 Kia Forte,S,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2018,9496.0,14995.0,16995.0,16225.0,15012.375,174.0,450.59,15693.09,-698.09,13819.0
2018 Kia Optima,LX,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2018,21443.0,16985.0,19999.0,16985.0,17471.2941,29.0,668.34,15455.84,1529.16,15560.0
2018 Lincoln MKX,Reserve,4WD, Sport Utility Vehicles,-122.8771,42.3556,2018,17785.0,35984.0,41999.0,35984.0,37763.6,79.0,1004.96,34607.71,1376.29,34687.0
2018 Nissan Altima,2.5 S,4WD, Mid-Size Passenger Car,-123.0815,44.0588,2018,9899.0,15990.0,17995.0,17995.0,16339.375,18.0,1028.04,14528.04,1461.96,15172.0
2018 Nissan Frontier,SV V6,2WD, Small Pickup Trucks,-122.8771,42.3556,2018,25332.0,22985.0,25999.0,22985.0,23511.775,14.0,959.45,21537.2,1447.8,21776.0
2018 Nissan Murano,SV,4WD,Mid-Size Wagon,-123.2585,44.5725,2018,25751.5,26997.0,26997.0,26997.0,24733.7,12.0,220.0,18634.0,8363.0,23250.0
2018 Nissan Rogue,SV,4WD, Sport Utility Vehicles,-122.8771,42.3556,2018,21670.0,19984.0,24999.0,19984.0,20804.7586,79.0,1038.63,19541.38,442.62,18512.0
2018 Nissan Rogue,SV,4WD, Sport Utility Vehicles,-117.3979,47.7552,2018,32801.0,19995.0,19995.0,20893.0,24517.6666,27.0,695.15,17595.15,2399.85,17828.0
2018 Nissan Rogue Sport,S,4WD, Sport Utility Vehicles,-123.2585,44.5725,2018,25474.0,21997.0,21997.0,21997.0,14961.3333,12.0,220.0,16334.0,5663.0,17300.0
2018 Nissan Sentra,S,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2018,34572.0,14986.0,16999.0,14986.0,16861.4615,14.0,951.34,11560.34,3425.66,11818.0
2018 Ram 1500,NIGHT,4WD, Standard Pickup Trucks,-117.3979,47.7552,2018,7391.0,41995.0,41995.0,44225.0,33342.25,35.0,2877.64,37965.14,4029.86,39182.0
2018 Ram 1500,SLT,4WD, Standard Pickup Trucks,-117.3979,47.7552,2018,15399.0,31995.0,31995.0,32377.0,29101.1428,11.0,579.9,27579.9,4415.1,28697.0
2018 Ram 2500,SLT,2WD, Standard Pickup Trucks,-117.3979,47.7552,2018,22014.0,46995.0,47995.0,48323.0,48995.0,27.0,1268.31,42268.31,4726.69,41457.0
2018 Subaru WRX,LIMITED,4WD, Compact Passenger Car,-122.7711,45.4954,2018,12055.0,29490.0,28990.0,28990.0,29447.4,27.0,752.95,25934.2,3555.8,27934.0
2018 Toyota 4Runner,SR5 Premium,4WD, Sport Utility Vehicles,-122.5688,45.6611,2018,13306.0,38671.0,38671.0,40744.0,35990.8076,2.0,315.0,34719.94,3951.06,37701.0
2018 Toyota Camry,SE,4WD, Mid-Size Passenger Car,-123.8016,46.9674,2018,35113.0,20334.0,20334.0,20334.0,21170.6363,9.0,1671.97,19317.97,1016.03,18590.0
2018 Toyota Camry,XSE,4WD, Mid-Size Passenger Car,-122.5688,45.6611,2018,9026.0,28482.0,28851.0,31589.0,28851.0,25.0,40.0,24989.19,3492.81,28501.0
2018 Toyota Corolla,LE,4WD, Compact Passenger Car,-123.8016,46.9674,2018,36141.0,15305.0,15305.0,15305.0,16897.8333,7.0,1058.86,13856.86,1448.14,13508.0
2018 Toyota Corolla,SE,2WD, Compact Passenger Car,-123.0815,44.0588,2018,5279.0,16590.0,17995.0,17995.0,18888.6,18.0,857.34,14857.34,1732.66,16263.0
2018 Toyota Corolla,SE,4WD, Compact Passenger Car,-123.8095,46.9768,2018,7711.0,18999.0,18999.0,18999.0,18993.2,36.0,689.0,16414.0,2585.0,15947.0
2018 Toyota RAV4,XLE,4WD, Sport Utility Vehicles,-123.8016,46.9674,2018,25281.666666666668,22693.0,22693.0,22693.0,24266.53026666667,32.0,1553.8166666666666,21768.583333333336,924.4166666666666,20919.666666666668
2018 Toyota RAV4,XLE,4WD, Sport Utility Vehicles,-122.654,45.5271,2018,26890.0,22490.0,23490.0,23490.0,24265.9333,34.0,1105.62,22549.62,-59.62,21221.0
